PotenciaA1iz,PotenciaA2iz,PotenciaA3iz,PotenciaC1iz,PotenciaC2iz,PotenciaC3iz,PotenciaB1iz,PotenciaB2iz,PotenciaB3iz,PotenciaA1de,PotenciaA2de,PotenciaA3de,PotenciaC1de,PotenciaC2de,PotenciaC3de,PotenciaB1de,PotenciaB2de,PotenciaB3de
358.429236915282,1088.64559384206,1737.06066162432,287.001694063866,239.301556427675,323.892065055371,613.81001725233,577.398818800279,1751.95599636567,388.839771009408,1350.12401751105,2155.28376752792,278.336066015498,307.476226821482,248.074925465825,58.074002915488,1186.0218238988,898.916518350256
339.002851316191,1034.85655113077,1648.80430676333,320.495899740975,273.773443595345,357.223650024312,632.051333781094,517.738356794772,1751.60134961974,367.719152266796,1289.24533136782,2044.62935838098,312.223408469385,339.792536962399,284.168058177014,85.9496374542641,1168.56638503246,840.18398810245
328.052600040085,1000.80547118305,1593.75720677761,324.609665063404,279.358674441036,360.715373700736,611.691323500941,493.270897006034,1698.61640767071,355.816759685031,1250.9951145784,1975.26005653911,316.70167210322,343.160936214084,289.896690251824,79.953178705218,1119.16197854352,819.589289448399
315.640642101639,963.339242568645,1532.9946405177,330.70428580258,286.930517236077,366.1596815822,595.996983147257,464.587593164166,1651.4463021927,342.334544700488,1208.11649110727,1898.71993914304,323.161281394441,348.407555945633,297.755361380151,79.1072617458155,1074.96783624265,792.740330830814
303.587539851245,926.976066414427,1473.76716077992,333.703444741743,291.472258554504,368.431218797458,578.23031589267,438.094101996106,1600.67265596676,329.240853915307,1166.17105452711,1824.30741013109,326.518409932177,350.557394483972,302.483894006552,76.7254664547891,1029.83658701809,766.96005482235
291.410326961666,890.404414401369,1414.11929607918,335.024229792617,294.373830135111,368.957229395285,560.116707333547,412.158579487501,1548.78372320176,316.018372934991,1123.53953722851,1749.46111279719,328.191636309316,351.009655320358,305.529696394907,74.5817574370381,985.36574147053,740.366871888824
279.235273055217,853.942801899276,1354.55860458022,334.40085880538,295.370277136836,367.470653038307,541.253603529979,387.177913783123,1495.19711489414,302.795862003305,1080.64475916256,1674.85710673375,327.915200584755,349.511985816794,306.611660756094,72.2203367794372,941.115415197265,713.421472447019
267.030628647868,817.462996979248,1294.94053657309,332.005284299003,294.623498235691,364.143221343493,521.774467566187,363.036454077934,1440.13451292888,289.545880536089,1037.33820025239,1600.29093587783,325.859910848011,346.241062868908,305.894721550464,69.7701724012992,897.183500934083,685.995314536284
254.803026442458,780.959940130387,1235.29582610304,327.895909998236,292.189066989617,359.035142778511,501.677280223596,339.745381661486,1383.60117466928,276.274521381373,993.633926620854,1525.80419037661,322.084943778821,341.260652701964,303.430409316858,67.2066527041154,853.528704122976,658.109073576628
242.552316280597,744.395949779555,1175.60846868419,322.159632796067,288.147937788586,352.235022998359,480.994293870838,317.277091418564,1325.64817461053,262.977238747219,949.497028414995,1451.37180613372,316.676798603956,334.662861196977,299.302598466788,64.5446272140687,810.145660527465,629.754053573815
230.280472846814,707.747300464477,1115.87298789431,314.877058307204,282.578127643373,343.824115557858,459.7520015987,295.616032374314,1266.32894894117,249.659896299059,904.912605631946,1376.98262482764,309.71680430291,326.532768875234,293.58696589953,61.7879256794031,767.022527931612,600.930932900585
217.987563592361,670.991185607024,1056.08881229617,306.130064588306,275.55642603943,333.887907705118,437.976182878507,274.737890616305,1205.71009995523,236.320434656412,859.866567267258,1302.63083679474,301.286507655031,316.955706033098,286.362401059209,58.9429903930152,724.145579279303,571.641835469938
205.672226129545,634.102851210014,996.250786634219,296.000484097932,267.16261394113,322.50935384696,415.698164998394,254.619942415136,1143.84780308732,222.959134636217,814.344413776383,1228.30424469016,291.46752727524,306.015675359218,277.707314231694,56.015332929086,681.505638737307,541.891670639393
193.336824859028,597.066254819772,936.355303535737,284.569150131585,257.473626831793,309.7725184105,392.942147895447,235.231650051088,1080.79077429017,209.578097834001,768.3359905378,1153.99610885657,280.34101259051,293.79704937418,267.702590499924,53.0102145359509,639.088465969881,511.691014239147
180.982052502832,559.86240069661,876.403157064805,271.917234512321,246.569873620171,295.761765031384,369.737762368571,216.546992735598,1016.61032667661,196.177803578427,721.835645682197,1079.70235772082,267.988452164732,280.382327803929,256.428325100387,49.932687151043,596.884829711508,481.050740866289
168.608764228295,522.481990687577,816.391522988266,258.12566057304,234.529026315242,280.560000565401,346.113692150757,198.531475813455,951.368938103817,182.757580156226,674.842360863425,1005.4137885769,254.491086469302,265.853453605573,243.964412742516,46.7877155402379,554.882485539204,449.983464848077
156.216690902496,484.91217137863,756.320453775299,243.274369671311,221.430489283152,264.250796376372,322.098862024532,181.151695021908,885.131015683503,169.319858544664,627.358392812121,931.125930478353,239.929174210012,250.291722068774,230.392574068737,43.5801069721354,513.069230544966,418.508470365514
143.808394059897,447.148091292602,696.191061995662,227.443763226915,207.353109388786,246.917411312457,297.720665038229,164.370403587773,817.962798433346,155.865661310803,579.39122603258,856.836595031481,224.38343419904,233.777418526152,215.793423227257,40.3144770316069,471.432136464086,386.643773551187
131.385054309306,409.187154032163,636.004295964542,210.713837295572,192.375910332874,228.643065263449,273.009468601284,148.149310448703,749.938814362938,142.396130678694,530.953594101533,782.540780372771,207.934179784198,216.390956661105,200.249278563229,36.9962162141241,429.960264329834,354.409915836287
118.946939967695,371.030379172267,575.765192995033,193.162153570226,176.575488509152,209.508125243762,247.99042376684,132.449395895574,681.114904213769,128.912494679364,482.0634463231,708.240050232758,190.658787293687,198.208380301485,183.838936721222,33.6272255234532,388.638036064186,321.83522474403
106.493876084819,332.678932148611,515.465452212071,174.875678673844,160.038376351627,189.603345398181,222.7048261805,117.217401907137,611.579973010757,115.413451041806,432.738826027344,633.917500872593,172.645149603459,179.316207482215,166.652408022219,30.2211882970642,347.46088551205,288.935619710961
94.0363481709022,294.156196556791,455.144956768799,155.906288808773,142.816536055796,168.983017294539,197.140852749112,102.446801064048,541.355744763697,101.910310473521,383.023745515952,559.62023644949,153.945260641246,159.764821802274,148.74401077552,26.7522351399796,306.386851606684,255.768930492835
81.5441179739835,255.417211929579,394.690626754785,136.420413909054,125.075281787308,147.819705159415,171.460191221184,87.962116118921,470.70212880823,88.3693327097011,332.890646394181,485.194560724176,134.725945066472,139.717570922105,130.28663777229,23.3252859761542,265.494103261599,222.267409387526
69.1184487291947,216.673727702696,334.480553366775,116.213402108408,106.613143810028,125.904177831597,145.268788133856,74.1319460681875,399.081108208791,74.9025991578383,282.594327077978,411.132151756725,114.78294469675,118.973360325029,111.069078009318,19.6209970289947,224.473734991506,188.776122323196
56.4548038546867,177.293292789584,273.354970835432,96.2482879666241,88.3839437893383,104.228165647933,119.913032723459,59.6072657438255,328.483668137347,61.1780048284113,231.45221323536,335.891624959458,95.0801609187278,98.4742097161345,92.0910733488849,16.6613237716984,184.235644273925,154.348935728798
