Time(s) Force[Z](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[Y](Cylindrical:11)-CabeceoCaso1.iaa(N) Force[X](Cylindrical:11)-CabeceoCaso1.iaa(N) Force(Cylindrical:11)-CabeceoCaso1.iaa(N) Moment[Z](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[Y](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment[X](Cylindrical:11)-CabeceoCaso1.iaa(N.mm) Moment(Cylindrical:11)-CabeceoCaso1.iaa(N.mm) 
1.80785 3885.33000 218.00795 0.90351 3891.44000 4844.63000 -81.95137 -8502.31000 9786.03000 
1.82317 3167.27000 327.23000 0.61076 3184.13000 4753.45000 -20.44770 -12762.00000 13618.50000 
1.83849 2454.01000 433.30500 0.29212 2491.98000 4684.97000 37.50960 -16898.90000 17536.30000 
1.85381 1746.43000 536.21500 -0.05445 1826.90000 4642.59000 92.67970 -20912.40000 21421.70000 
1.86914 1045.46000 635.96100 -0.43060 1223.70000 4629.66000 146.04039 -24802.50000 25231.30000 
1.88446 351.62500 732.59900 -0.83807 812.61400 4649.32000 198.74200 -28571.40000 28947.90000 
1.89978 -333.18400 826.06800 -1.27685 890.73100 4704.48000 252.13800 -32216.60000 32559.30000 
1.91510 -1012.31000 916.79200 -1.75174 1365.75000 4797.56000 307.47200 -35754.90000 36076.60000 
1.93042 -1669.77000 1003.44000 -2.24721 1948.09000 4930.23000 366.76900 -39134.30000 39445.40000 
1.94574 -2361.36000 1091.10000 -2.82246 2601.26000 5105.65000 429.28400 -42553.00000 42860.30000 
1.96106 -2671.42000 1143.50000 -3.02571 2905.87000 5295.50000 510.52900 -44596.60000 44912.80000 
1.97638 -2889.21000 1186.59000 -3.14788 3123.38000 5490.00000 598.10900 -46277.00000 46605.40000 
1.99170 -3120.02000 1229.56000 -3.30073 3353.56000 5693.07000 688.14700 -47952.90000 48294.60000 
2.00702 -3336.64000 1270.13000 -3.45307 3570.22000 5902.12000 781.49900 -49535.30000 49891.80000 
2.02234 -3546.34000 1308.96000 -3.61163 3780.20000 6116.97000 877.79600 -51049.60000 51422.30000 
2.03766 -3747.14000 1345.92000 -3.77281 3981.53000 6336.37000 976.86084 -52491.00000 52881.10000 
2.05299 -3939.56000 1381.09000 -3.93574 4174.63000 6559.30000 1078.37000 -53862.60000 54271.20000 
2.06831 -4123.42000 1414.49000 -4.09876 4359.29000 6784.51000 1181.94000 -55164.90000 55593.10000 
2.08363 -4298.73000 1446.14000 -4.26038 4535.46000 7010.66000 1287.10000 -56399.30000 56847.90000 
2.09895 -4465.43000 1476.06000 -4.41904 4703.07000 7236.32000 1393.28000 -57566.50000 58036.20000 
2.11427 -4623.50000 1504.29000 -4.57315 4862.06000 7459.94000 1499.85000 -58667.40000 59158.80000 
2.12959 -4772.88000 1530.84000 -4.72114 5012.38000 7679.87000 1606.10000 -59702.70000 60216.00000 
2.14491 -4913.54000 1555.72000 -4.86147 5153.95000 7894.35000 1711.23000 -60673.00000 61208.40000 
2.16023 -5045.42000 1578.95000 -4.99273 5286.71000 8101.52000 1814.39000 -61579.00000 62136.20000 
2.17555 -5168.47000 1600.54000 -5.11366 5410.63000 8299.45000 1914.65000 -62421.20000 62999.60000 
2.19087 -5282.66000 1620.51000 -5.22331 5525.63000 8486.10000 2011.00000 -63200.00000 63798.90000 
2.20619 -5387.93000 1638.87000 -5.32112 5631.67000 8659.44000 2102.40000 -63915.80000 64534.00000 
2.22151 -5484.23000 1655.62000 -5.40713 5728.69000 8817.44000 2187.81000 -64569.10000 65205.10000 
2.23683 -5571.52000 1670.77000 -5.48206 5816.64000 8958.19000 2266.14000 -65160.10000 65812.00000 
2.25216 -5649.83000 1684.34000 -5.54765 5895.56000 9080.10000 2336.40000 -65689.30000 66355.00000 
